customer_id,product_id,order_id,purchase_date,items
65058,56714,1229966,2024-12-27,2.3333333333333335
154434,39186,1236112,2024-12-28,1.0
187263,11262,1236354,2024-12-28,1.6666666666666667
192942,62074,1231340,2024-12-27,1.0
194229,61540,1224618,2024-12-26,27.0
197673,1304,1224730,2024-12-26,1.0
201852,56714,1236596,2024-12-28,2.3333333333333335
203784,63188,1231655,2024-12-27,1.6666666666666667
206364,63538,1236665,2024-12-28,2.3333333333333335
206406,1304,1236666,2024-12-28,3.6666666666666665
206868,63186,1236675,2024-12-28,7.0
226623,56714,1237070,2024-12-28,3.0
227343,63188,1232332,2024-12-27,1.6666666666666667
237252,1304,1232732,2024-12-27,1.6666666666666667
25749,11262,1235439,2024-12-28,13.666666666666666
167451,10652,1231048,2024-12-27,1.0
188937,57414,1231267,2024-12-27,1.0
207999,1304,1236693,2024-12-28,3.6666666666666665
208491,63538,1236707,2024-12-28,3.6666666666666665
209697,56714,1231803,2024-12-27,1.0
211413,30500,1225199,2024-12-26,10.333333333333334
211533,124,1231858,2024-12-27,7.0
226848,1304,1225854,2024-12-26,1.6666666666666667
246150,56714,1233106,2024-12-27,3.0
249342,30500,1237734,2024-12-28,10.333333333333334
65052,35732,1235573,2024-12-28,2.3333333333333335
66879,57414,1235599,2024-12-28,1.6666666666666667
72918,56714,1235693,2024-12-28,2.3333333333333335
153669,63186,1230862,2024-12-27,1.0
154551,1370,1230872,2024-12-27,1.6666666666666667
186657,11262,1231229,2024-12-27,7.0
187263,10652,1236354,2024-12-28,2.3333333333333335
194229,11262,1236449,2024-12-28,20.333333333333332
203145,63510,1236620,2024-12-28,4.333333333333333
204771,16358,1236638,2024-12-28,3.6666666666666665
209622,63188,1225127,2024-12-26,2.3333333333333335
211413,63510,1225199,2024-12-26,4.333333333333333
244878,1304,1226781,2024-12-26,1.6666666666666667
128526,57414,1236028,2024-12-28,2.3333333333333335
154032,35732,1236109,2024-12-28,2.3333333333333335
184950,56714,1236332,2024-12-28,2.3333333333333335
194229,35732,1236449,2024-12-28,13.666666666666666
204189,33886,1236631,2024-12-28,8.333333333333334
204189,39186,1236631,2024-12-28,47.0
204717,63510,1224986,2024-12-26,1.6666666666666667
207339,11262,1236682,2024-12-28,60.333333333333336
